T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
210357, 580, 830, 39, 27090, 35140, -8470
210377, 577, 825, 37, 26950, 37520, -4690
210397, 570, 811, 35, 28280, 36610, 1680
210417, 569, 808, 39, 26390, 38710, 7700
210437, 580, 828, 39, 24990, 39620, 4410
210457, 598, 859, 38, 28490, 34580, -6720
210477, 612, 881, 36, 31850, 29330, -14490
210497, 607, 878, 40, 29260, 29960, -13230
210517, 599, 865, 39, 25900, 31150, -6160
210537, 582, 835, 37, 24920, 29190, 2240
210557, 561, 804, 41, 21070, 28980, 11200
210577, 547, 773, 45, 15960, 28630, 16100
210597, 549, 775, 40, 16100, 21490, 11060
210617, 559, 796, 38, 18340, 11760, -1960
210637, 573, 819, 39, 12740, 11060, -10080
210657, 580, 836, 45, 4270, 13020, -8960
210677, 587, 845, 42, 1750, 7700, -3080
210697, 588, 840, 38, 3360, -2100, 3220
210717, 579, 826, 40, 910, -6440, 6020
210737, 569, 813, 39, -4410, -6720, 5460
210757, 564, 802, 39, -7420, -9660, 2590
210777, 559, 799, 41, -10360, -12880, 140
210797, 571, 812, 41, -14420, -14630, -1260
210817, 584, 838, 40, -14980, -19600, -2800
210837, 600, 858, 35, -12670, -27160, -4620
210857, 599, 855, 34, -13300, -30310, -4340
210877, 591, 844, 37, -18620, -26880, -1610
210897, 578, 826, 36, -21770, -24780, -490
210917, 561, 801, 37, -20930, -26530, 1960
210937, 547, 773, 36, -20790, -27790, 8610
210957, 544, 764, 37, -21350, -28420, 14490
210977, 559, 784, 32, -20020, -30520, 11130
210997, 576, 818, 33, -18270, -31570, -1400
211017, 590, 850, 34, -18970, -28560, -12810
211037, 604, 868, 36, -19250, -25550, -13790
211057, 611, 877, 34, -16100, -25900, -5390
211077, 602, 859, 31, -11900, -25970, 4900
211097, 579, 818, 33, -10500, -21630, 13930
211117, 561, 788, 33, -10080, -16240, 19320
211137, 553, 775, 31, -7560, -13580, 16870
211157, 555, 783, 32, -4550, -11130, 5950
211177, 567, 806, 36, -2450, -7630, -5670
211197, 583, 830, 35, 350, -5600, -7980
211217, 598, 850, 30, 5390, -6860, -2870
211237, 606, 860, 28, 9870, -6720, 2310
211257, 597, 853, 32, 9450, 630, 4340
211277, 578, 827, 36, 6300, 11340, 3710
211297, 566, 801, 33, 8330, 14910, 4830
211317, 557, 783, 31, 14070, 13090, 8680
211337, 552, 778, 35, 16660, 14210, 11340
211357, 562, 794, 35, 15470, 19390, 10780
211377, 583, 827, 34, 16520, 21140, 6790
211397, 598, 852, 34, 19180, 20510, 0
211417, 597, 862, 36, 19880, 22260, -6440
211437, 587, 843, 35, 19180, 26040, -7630
211457, 576, 824, 35, 20300, 26320, -210
211477, 570, 806, 36, 21630, 25060, 12110
211497, 564, 798, 39, 19460, 27440, 19950
211517, 567, 806, 40, 15750, 31360, 16170
211537, 579, 824, 37, 21700, 20790, -8260
211557, 590, 845, 38, 21490, 17920, -11200
211577, 590, 851, 38, 16240, 20860, -6090
211597, 589, 848, 42, 12040, 22120, 4900
211617, 581, 829, 39, 10850, 19040, 14490
211637, 574, 811, 40, 10780, 14210, 15260
211657, 568, 805, 40, 9940, 10780, 6580
211677, 569, 813, 41, 9030, 7210, -5810
