T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY,LabelZ
8973,158,1076,127,6230,-6510,-4130,1,1,1
8993,115,1013,132,14070,-7840,10290,1,1,1
9013,131,874,101,17430,-5600,17640,1,1,1
9033,233,998,113,14280,-560,20230,1,1,1
9053,189,953,156,15330,1400,15260,1,1,1
9073,180,982,97,5040,1330,10640,1,1,1
9093,180,949,114,9450,210,7560,1,1,1
9113,201,935,110,10780,5320,10010,1,1,1
9133,220,972,85,10010,10150,13580,1,1,1
9153,253,969,100,11130,14420,12040,1,1,1
9173,230,977,105,8400,15750,19040,1,1,1
9193,182,966,112,8330,12880,21560,1,1,1
9213,174,962,116,11060,7700,17220,1,1,1
9233,213,1001,118,9030,4970,16520,1,1,1
9253,251,980,98,10920,5530,8540,1,1,1
9273,285,975,83,10920,10430,8750,1,1,1
9293,228,984,105,7770,6440,-4900,1,1,1
9313,168,982,126,3150,3850,-12810,1,1,1
9333,195,976,107,3710,3290,-3290,1,1,1
9353,226,978,102,6160,1610,8190,1,1,1
9373,239,976,91,6020,4060,21700,1,1,1
9393,289,988,77,5180,6230,36960,1,1,1
9413,280,990,91,5250,8330,42420,1,1,1
9433,252,990,116,5250,16030,52010,1,1,1
9453,254,922,112,5530,19390,51310,1,1,1
9473,287,942,66,5320,17150,26250,1,1,1
9493,305,877,71,7280,9870,13090,1,1,1
9513,329,946,81,910,8260,23310,1,1,1
9533,297,963,105,-1890,5670,17640,1,1,1
9553,322,990,111,-2660,5600,12460,1,1,1
9573,318,984,103,350,6650,12250,1,1,1
9593,312,953,101,3780,4900,10220,1,1,1
9613,346,950,80,5320,5180,17500,1,1,1
9633,368,929,82,6020,8750,40250,1,1,1
9653,354,941,110,3920,11760,44380,1,1,1
9673,377,942,115,1820,16940,55020,1,1,1
9693,391,910,129,2520,18060,70490,1,1,1
9713,374,910,139,2870,13440,60760,1,1,1
9733,387,921,143,1680,7700,38220,1,1,1
9753,409,916,130,3990,2310,27510,1,1,1
9773,465,901,97,9870,-2030,24430,1,1,1
9793,441,869,99,11480,-280,31220,1,1,1
9813,441,839,106,9380,7280,48020,1,1,1
9833,473,847,121,5810,10990,47740,1,1,1
9853,494,884,137,770,11200,36820,1,1,1
9873,440,891,142,280,7840,27860,1,1,1
9893,432,852,133,3080,490,12810,1,1,1
9913,503,820,103,6370,-2170,17010,1,1,1
9933,478,863,119,5320,-2520,16450,1,1,1
9953,531,911,111,2590,-9380,-420,1,1,1
9973,506,897,118,3360,-11760,9380,1,1,1
9993,481,870,102,5880,-10290,14980,1,1,1
10013,516,858,80,7980,-14840,11760,1,1,1
10033,527,873,92,2030,-13580,10570,1,1,1
10053,501,871,102,-10430,-8820,7770,1,1,1
10073,539,859,111,-18270,-5530,3920,1,1,1
10093,510,831,109,-20580,-5040,6090,0,0,1
10113,500,824,114,-18620,-7210,-1890,0,0,1
10133,540,856,111,-21070,-11900,-10780,0,0,1
10153,528,918,126,-28140,-15260,-21140,0,0,1
10173,484,888,153,-41230,-9800,-17010,0,0,1
10193,457,833,188,-60130,4410,6300,0,0,1
10213,490,791,220,-69930,12810,26040,0,0,1
10233,521,818,238,-58940,11410,26740,0,0,1
10253,550,874,228,-29050,3640,14140,0,0,1
10273,504,852,208,4900,-8050,6090,0,0,1
10293,511,827,183,23030,-13300,9100,0,0,1
10313,528,842,180,19250,-11690,11410,0,0,1
10333,518,836,205,6440,-5250,13440,0,0,1
10353,519,846,207,-5320,-630,6790,0,0,1
10373,534,826,189,-1470,-3290,1610,0,0,1
10393,564,849,178,8610,-6370,5180,0,0,1
10413,522,840,200,7070,-6300,3430,0,0,1
10433,476,817,207,-2030,-4690,-840,0,0,1
10453,525,830,203,-4340,-5390,2030,0,0,1
10473,549,852,195,1470,-3710,4340,0,0,1
10493,524,833,198,2310,-5110,-700,0,0,1
10513,535,850,191,2520,-6440,-2030,0,0,1
10533,527,847,192,4130,-6510,-3500,0,0,1
10553,512,828,189,1190,-6020,-6580,0,0,1
10573,540,815,181,-1540,-4830,-490,0,0,1
10593,508,824,176,-1120,-4760,5950,0,0,1
10613,514,823,186,-1680,-7070,4480,0,0,1
10633,509,814,197,-7770,-8820,3220,0,0,1
10653,589,861,144,-16310,-6510,1750,0,0,1
10673,518,864,181,-20230,-6230,-4340,0,0,1
10693,516,837,129,-1050,7280,9590,0,0,1
10713,531,814,67,27090,32690,28210,0,0,1
10733,591,818,18,80640,24290,48230,0,0,1
10753,598,792,4,126490,0,67690,0,0,1
10773,565,773,38,108990,47740,59290,0,0,1
10793,569,820,56,68600,129990,19320,0,0,1
10813,593,875,54,66640,163380,-22820,0,0,1
10833,589,889,62,94570,156450,-32690,0,0,1
