T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY
37074,587,760,23,-3150,4340,7210,0,0
37094,596,775,21,3430,3220,-700,0,0
37114,607,788,21,4130,7840,2940,0,0
37134,617,800,25,4200,12950,6440,0,0
37154,636,832,18,13510,8190,-2310,0,0
37174,647,857,13,20230,7840,-10780,0,0
37194,642,850,18,16380,19880,-4690,0,0
37214,624,820,22,15190,27720,10360,0,0
37234,608,790,20,20650,26460,19600,0,0
37254,595,772,20,24080,26460,16660,0,0
37274,582,757,25,23800,29540,10850,0,0
37294,579,747,24,26110,27580,6720,0,0
37314,586,758,20,28560,23520,2310,0,0
37334,599,779,23,26320,25480,-1960,0,0
37354,616,811,25,23940,28350,-6440,0,0
37374,630,831,23,23940,27860,-5810,0,0
37394,636,838,22,24360,25900,2380,0,0
37414,644,846,23,25970,22400,7560,0,0
37434,643,848,19,27930,19320,3710,0,0
37454,624,823,21,24920,22540,490,0,0
37474,591,779,30,17500,29260,7770,0,0
37494,570,744,32,15890,26040,17780,0,0
37514,573,737,25,20930,12880,18130,0,0
37534,585,753,21,22050,4690,8330,0,0
37554,599,776,27,14070,7910,-3850,0,0
37574,616,812,28,5530,11340,-13440,0,0
37594,641,850,21,5110,5460,-20090,0,0
37614,648,865,25,4620,1400,-16940,0,0
37634,641,856,27,560,2450,-3360,0,0
37654,626,823,23,1890,-3570,11270,0,0
37674,611,789,16,4480,-11200,17920,0,0
37694,590,765,27,-1820,-7770,12530,0,0
37714,581,759,33,-10150,-2660,-700,0,0
37734,585,767,24,-9240,-10010,-11270,0,0
37754,588,767,23,-7350,-19180,-9660,0,0
37774,591,772,28,-12670,-19180,-210,0,0
37794,611,797,25,-15470,-20930,3080,0,0
37814,635,833,17,-12530,-28280,-3010,0,0
37834,645,849,21,-15330,-27370,-10360,0,0
37854,637,843,28,-23870,-18480,-12530,0,0
37874,630,837,25,-23450,-19600,-11270,0,0
37894,621,816,17,-15050,-29610,-6020,0,0
37914,600,782,21,-15610,-28070,8680,0,0
37934,589,758,26,-22540,-18900,22050,0,0
37954,596,765,19,-22050,-19320,17290,0,0
37974,605,784,20,-19040,-22050,-1190,0,0
37994,603,795,27,-22610,-15750,-15260,0,0
38014,604,797,27,-23660,-12390,-14840,0,0
38034,614,798,17,-14420,-21560,-3850,0,0
38054,618,801,11,-5460,-29120,7350,0,0
38074,614,796,20,-7840,-20580,13090,0,0
38094,617,800,23,-13440,-7490,10360,0,0
38114,618,806,19,-10010,-6370,-1330,0,0
38134,611,801,20,-4060,-8610,-10080,0,0
38154,600,791,23,-1540,-5670,-7910,0,0
38174,596,776,20,2450,-4340,3150,0,0
38194,595,766,14,7980,-5670,16870,0,0
38214,596,761,20,7700,-350,24150,0,0
38234,609,785,23,3360,10010,16310,0,0
38254,631,828,22,6090,11550,-5810,0,0
38274,646,860,17,14490,6020,-23170,0,0
38294,640,854,16,19600,4830,-20370,0,0
38314,619,814,19,20300,9660,-280,0,0
