T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
15671, -102, 12, 1019, 2450, -210, 1820
15691, -104, 10, 1021, 2450, -210, 1890
15711, -103, 11, 1021, 2450, -210, 1820
15731, -101, 12, 1020, 2450, -210, 1820
15751, -104, 10, 1019, 2450, -210, 1890
15771, -103, 12, 1020, 2450, -210, 1820
15791, -103, 11, 1019, 2450, -210, 1820
15811, -102, 12, 1019, 2450, -210, 1890
15831, -104, 10, 1021, 2450, -210, 1820
15851, -101, 13, 1019, 2450, -210, 1820
15871, -102, 11, 1018, 2450, -210, 1820
15891, -101, 12, 1022, 2450, -210, 1890
15911, -101, 11, 1021, 2450, -210, 1820
15931, -102, 12, 1017, 2450, -210, 1820
15951, -104, 11, 1019, 2450, -210, 1820
15971, -104, 10, 1019, 2450, -210, 1820
15991, -102, 9, 1019, 2450, -210, 1820
16011, -102, 10, 1019, 2450, -210, 1820
16031, -104, 11, 1020, 2450, -210, 1820
16051, -103, 12, 1018, 2450, -210, 1820
16071, -104, 11, 1020, 2450, -140, 1890
16091, -227, 3, 998, 2380, -280, 1960
16111, -57, 28, 1012, 1960, -210, 6160
16131, -47, 16, 1028, -910, -210, 38080
16151, -112, 10, 1020, -1610, 700, 41930
16171, -103, 12, 1019, 1400, 140, 11550
16191, -101, 11, 1018, 2450, -140, 1820
16211, -103, 11, 1018, 2450, -140, 1610
16231, -101, 11, 1019, 2450, -140, 1470
16251, -103, 11, 1019, 2450, -210, 1820
16271, -103, 11, 1020, 2450, -210, 1890
16291, -101, 10, 1019, 2450, -210, 1890
16311, -104, 12, 1019, 2520, -280, 1890
16331, -101, 12, 1017, 2450, -210, 1890
16351, -103, 11, 1020, 2450, -140, 1820
16371, -103, 10, 1018, 2450, -140, 1820
16391, -102, 11, 1020, 2450, -210, 1820
16411, -104, 13, 1019, 2450, -210, 1820
16431, -103, 11, 1018, 2450, -210, 1890
16451, -99, 12, 1019, 2450, -210, 1820
16471, -103, 12, 1020, 2450, -140, 1750
16491, -101, 12, 1019, 2520, -140, 1540
16511, -101, 12, 1018, 2450, -210, 1820
16531, -99, 11, 1020, 2450, -210, 1820
16551, -101, 10, 1019, 2450, -210, 1820
16571, -103, 11, 1019, 2450, -210, 1820
16591, -103, 10, 1019, 2450, -210, 1890
16611, -101, 11, 1019, 2450, -210, 1890
16631, -102, 9, 1018, 2450, -210, 1890
16651, -103, 11, 1020, 2450, -210, 1890
16671, -103, 10, 1020, 2450, -210, 1820
16691, -100, 11, 1018, 2450, -210, 1820
16711, -103, 9, 1018, 2450, -210, 1890
16731, -101, 11, 1019, 2450, -210, 1820
16751, -102, 10, 1021, 2450, -210, 1820
16771, -100, 11, 1018, 2450, -210, 1820
16791, -103, 10, 1021, 2450, -210, 1820
16811, -103, 12, 1018, 2450, -210, 1820
16831, -102, 9, 1020, 2450, -210, 1820
16851, -102, 11, 1021, 2450, -210, 1890
16871, -103, 10, 1018, 2450, -210, 1820
16891, -102, 10, 1020, 2450, -210, 1820
16911, -102, 11, 1019, 2450, -210, 1890
16931, -100, 12, 1021, 2450, -210, 1890
16951, -102, 11, 1017, 2450, -210, 1890
16971, -102, 12, 1020, 2450, -210, 1890
16991, -106, 12, 1017, 2450, -210, 1820
17011, -121, 8, 1015, 2310, -350, 2870
17031, -104, 10, 1018, 2030, -560, 6230
17051, -98, 18, 1020, 2030, -70, 5670
17071, -105, 13, 1019, 2380, -70, 2170
17091, -117, 17, 1024, 2940, -770, 0
17111, -109, 13, 1014, 8260, -9940, -3640
17131, -104, 27, 1030, 8050, -8820, -8960
17151, -83, 14, 1028, 11130, -12390, -15540
17171, -58, 31, 1037, 20930, -25130, -25130
17191, -89, 54, 1029, 29400, -16730, -16380
17211, -85, 42, 1040, 38640, -6720, -10710
17231, -67, 79, 1015, 45080, -630, -9590
17251, -37, 96, 1034, 55860, 3990, -8400
17271, -62, 101, 1089, 66920, 7560, -3710
17291, -55, 144, 1138, 73220, 15190, 3430
17311, -89, 168, 1156, 62230, 9380, 6090
17331, -81, 149, 1123, 23800, 6300, 9870
17351, -88, 168, 1068, -4270, 840, 9870
17371, -59, 143, 1058, -11550, -6230, 8540
17391, -65, 127, 1097, -10220, 1820, 8260
17411, -62, 122, 1037, -9660, 1540, 8260
17431, -78, 128, 1037, -18200, 1750, 9800
17451, -81, 119, 1058, -16100, 3990, 10220
17471, -78, 108, 1072, -15890, 5880, 9310
17491, -83, 102, 1041, -17430, 6720, 8750
17511, -75, 97, 1003, -21280, 5880, 12250
17531, -76, 80, 1022, -22260, 2380, 12600
17551, -80, 77, 1032, -18900, 2240, 13300
17571, -96, 72, 1034, -18410, 4340, 16520
17591, -107, 72, 1025, -18270, 2660, 17150
17611, -78, 66, 994, -18900, 5460, 17990
17631, -116, 61, 949, -20230, 6440, 18550
17651, -77, 48, 998, -20650, 8890, 21840
17671, -103, 50, 1009, -13300, 5110, 19740
17691, -132, 57, 1044, -13580, -6790, 19880
17711, -122, 54, 1022, -13860, -18550, 17080
17731, -127, 40, 997, -15400, -16310, 15120
17751, -82, 30, 1004, -18900, 1120, 17780
17771, -90, 34, 979, -16380, 3570, 17360
17791, -115, 25, 998, -17220, -6790, 17640
17811, -110, 18, 1001, -16940, -12460, 15960
17831, -108, 7, 1001, -14560, -16730, 13720
17851, -63, -7, 968, -15820, -17850, 12040
17871, -100, 0, 961, -17570, -16870, 11550
17891, -10, -46, 1059, -14140, -12740, 12670
17911, -85, -16, 978, -9450, -4900, 11690
17931, -64, -30, 957, -16940, -23380, 12600
17951, -56, -36, 968, -12530, -28840, 10150
17971, -27, -34, 926, -10430, -21070, 10640
17991, -9, -48, 962, -8260, -14560, 12320
18011, -35, -40, 1009, -3500, -7140, 15120
18031, -39, -41, 1041, 4690, -3850, 15330
18051, -39, -31, 1050, 4130, -12530, 10850
18071, -101, -58, 928, 1190, -20720, 5250
18091, -45, -36, 959, -4970, -10710, 14210
18111, -22, -81, 1089, 1260, 11480, 29960
18131, -9, -75, 1010, 5740, 11760, 21280
18151, -4, -67, 1006, -2240, -2170, 4620
18171, -21, -43, 1002, -7350, -18130, -9940
18191, -1, -77, 983, -7490, -27930, -6580
18211, 52, -59, 961, -7980, -25620, 560
18231, -37, -49, 1051, -770, 350, 13300
18251, 28, -75, 1065, 6930, 24360, 30590
18271, -65, -25, 1046, 9450, 11060, 24430
18291, -78, -37, 1030, 5040, 5810, 14980
18311, -58, -38, 948, 910, 3080, 5950
18331, -55, -36, 1066, 1190, 22400, 1610
18351, -44, -40, 1116, 8890, 66430, 1260
18371, -103, -35, 1157, 11900, 76720, -1820
18391, -129, -55, 1080, 2310, 55230, -5950
18411, -151, -68, 911, -13160, 26600, -12670
18431, -87, -83, 906, -28700, 3920, -33110
18451, -116, -88, 1053, -12950, 27020, -33740
18471, -86, -100, 1058, -16030, 31080, -30380
18491, -136, -105, 1044, -25760, 10710, -27020
18511, -118, -122, 914, -37730, -10990, -21350
18531, -215, -287, 1027, -32550, -13160, -12180
18551, -70, -161, 823, -26180, 210, -2660
18571, -95, -157, 1003, -23940, 19950, 6930
18591, -106, -148, 991, -17570, 22400, 10990
18611, -127, -153, 951, -20090, 5460, 5180
18631, -151, -138, 943, -16240, -5600, -280
18651, -134, -150, 946, -12110, 1890, 560
18671, -94, -176, 976, -6300, 20230, 6930
18691, -184, -247, 1022, -11480, 36820, 9800
18711, -235, -204, 1030, -86310, 21350, -26180
18731, -133, -238, 950, -88270, -9730, -52640
18751, -140, -278, 949, -90510, 2100, -30800
18771, -152, -326, 937, -102410, 24640, -6300
18791, -164, -349, 964, -105070, 32900, 770
18811, -195, -377, 965, -94500, 27580, 3990
18831, -166, -424, 918, -92540, 27230, 7630
18851, -170, -422, 880, -110320, 30800, 12810
18871, -269, -553, 854, -139860, 49490, 20370
18891, -218, -572, 779, -130550, 52080, 8610
18911, -272, -588, 810, -103530, 53760, -12320
18931, -276, -634, 784, -104370, 84490, -25200
18951, -222, -545, 728, -64470, 69510, -30450
18971, -276, -611, 728, -44170, 60760, -13930
18991, -256, -793, 377, -87290, 93800, 8120
19011, -467, -810, 684, -156800, 131390, 10710
19031, -464, -801, 679, -189350, 128660, -3080
19051, -390, -725, 604, -121590, 55230, -29260
19071, -316, -767, 565, -58730, -41510, -50050
19091, -330, -744, 548, -36190, -67690, -62300
19111, -185, -781, 521, -40180, -70700, -62090
19131, -235, -843, 530, -60760, -64470, -77280
19151, -269, -798, 525, -75460, -140, -34650
19171, -246, -768, 467, -63420, 22120, -4550
19191, -232, -865, 488, -52080, -6440, 1400
19211, -226, -866, 453, -60200, -31010, 5110
19231, -168, -926, 400, -66080, -14280, -3220
19251, -216, -932, 426, -78960, 15050, -22330
19271, -243, -952, 438, -69720, 55440, -62930
19291, -205, -871, 383, -76650, 18620, -35140
19311, -232, -948, 320, -89950, -1820, 1190
19331, -238, -950, 292, -100100, -5670, 10570
19351, -245, -977, 280, -96740, -12950, 16870
19371, -244, -988, 230, -104090, -14070, 24360
19391, -244, -932, 216, -89390, -35420, 29120
19411, -250, -823, 193, -68530, -58660, 25270
19431, -136, -913, 147, -55090, -74900, -8050
19451, -222, -942, 75, -63770, -104930, -63700
19471, -25, -888, -521, -80150, -74760, -102970
19491, 299, -1348, 183, -167720, 34020, -206150
19511, 196, -1020, 253, 19110, 3010, -268940
19531, 16, -929, 115, 179760, -128240, -125160
19551, 51, -996, 144, -45360, 8400, -16380
19571, 96, -1024, 33, -62580, -11760, 8330
19591, 41, -1056, 114, -42420, 560, 13650
19611, 30, -1054, 97, -33320, 44660, 16730
19631, 37, -981, 79, -27230, 34720, 2800
19651, 49, -998, 30, -7070, -840, -20440
19671, 66, -1035, 65, -10780, 630, -26460
19691, 68, -1004, 62, -26460, 12110, -11620
19711, 53, -996, 53, -23450, 14980, -5250
19731, 43, -1006, 48, -19390, 8610, 7630
19751, 44, -980, 26, -15680, 4620, 15890
19771, 41, -1007, 71, -12250, -840, 20300
19791, 45, -1049, 45, -15750, -4200, 17430
19811, -19, -1109, 7, -29540, -15260, 14840
19831, 32, -1049, -22, -49490, -15750, 6930
19851, 42, -919, -39, -33040, -35140, -4480
19871, 52, -978, -10, -14910, -43190, -16870
19891, 64, -941, 6, -31570, -27510, -22190
19911, 90, -979, -51, -52920, -13860, -8120
19931, 28, -828, -25, -77910, 4830, 6860
19951, -11, -1149, -21, -48790, -24570, 29330
19971, 243, -843, -200, -12390, -38990, 7490
19991, 31, -1039, -95, 37310, -68950, -52990
